SB Campaign Name,Category,Sub-Category
SBV/Coccyx/Exact/CPC/Oct22/1,Cushions,Coccyx Seat Cushion
Insoles  Video 2,Insoles,Dual Gel Insoles
Frido 2k Brand Video,Wheelchair,MAC Wheelchair
Video Camp FPA,Wheelchair,Bathroom Wheelchair
Insoles-Video | SB | PAT,Insoles,Dual Gel Insoles
Wedge ASIN PAT Video,Cushions,Wedge Cushion
Frido Grey Vid,Face Mask,Masks
SA - Ultimate_Frido_BrandVideo,Face Mask,Masks
Video FSS,Wheelchair,Folding Wheelchair
SA - Brand Ad- Frido Ultimate,Face Mask,Masks
SB_KT(e)_B3Ply_BlackKW_8/12/21,Face Mask,Masks
Brand 3ply Black,Face Mask,Masks
SB_AS_KT(b)_GenericKW_4/1/22,Face Mask,Masks
Brand Insole,Insoles,Dual Gel Insoles
Brand Shower Commode WC,Wheelchair,MAC Wheelchair
SBV/Insole/New/Brand/Phrase/Aug22/1,Insoles,Gel Cloud Insoles
SBV/Insole/New/Comp/PT/Fovera/Aug22/1,Insoles,Gel Cloud Insoles
SBV/Insole/New/Generic/Men/LS/Phrase/Aug22/2,Insoles,Gel Cloud Insoles
SBV/Insole/New/CAT/PT/Aug22/3,Insoles,Gel Cloud Insoles
SBV/Lumbar/Generic/Phrase/Aug22/1,Cushions,Lumbar Cushion
SBV/Lumbar/Generic/Exact/Aug22/1,Cushions,Lumbar Cushion
SBV/Lumbar/CAT/PT/Aug22/1,Cushions,Lumbar Cushion
SBV/Mask/Silver+/CAT/RH4/VCPM/Aug22/2,Face Mask,Masks
SBV/Insole/Old/Generic/Men/HS/Exact/Sept22/1,Insoles,Dual Gel Insoles
SBV/Insole/Old/Comp/PT/Fovera/Sep22/1,Insoles,Dual Gel Insoles
SBV/Insole/Old/Brand/Phrase/Sep22/1,Insoles,Dual Gel Insoles
SBV/Insole/Old/Generic/Men/HS/Exact/Sep22/1,Insoles,Dual Gel Insoles
SBV/Insole/Old/Generic/Men/MS/Phrase/Aug22/1,Insoles,Dual Gel Insoles
SBV/Insole/Old/CAT/PT/Sep22/3,Insoles,Dual Gel Insoles
SB/Wheel Chairs/Generic/MS/Exact/Oct22/1,Wheelchair,Bathroom Wheelchair
SB/Wheel Chairs/Foldable/Generic/Fold/Exact/HS/Oct22/1,Wheelchair,Bathroom Wheelchair
SB/Wheel Chairs/Generic/HV/Exact/Oct22/1,Wheelchair,Bathroom Wheelchair
SB/Wheel Chairs/Generic/LS/Exact/Oct22/1,Wheelchair,Bathroom Wheelchair
SB/Insole/Generic/Men/HS/Exact/Aug22/2,Insoles,Dual Gel Insoles
SBV/Coccyx/Comp/PT/Nov22/1,Cushions,Coccyx Seat Cushion
Socket_Video_SB,Cushions,Socket Seat Cushion
SB_Socket_ASIN_Video,Cushions,Socket Seat Cushion
SB_Video_Coccyx,Cushions,Coccyx Seat Cushion
SBV/Wheel Chairs/Generic/Exact/Nov22/1,Wheelchair,Folding Wheelchair
SBV/Socket/Generic/Phrase/Nov22/1,Cushions,Socket Seat Cushion
SBV/Socket/CAT/PT/Support/Nov22/1,Cushions,Socket Seat Cushion
SBV/Socket/Generic/Seat/Phrase/Nov22/1,Cushions,Socket Seat Cushion
SBV/Socket/Comp/PT/Nov22/1,Cushions,Socket Seat Cushion
SBV/Coccyx/CAT/PT/Supports/Nov22/1,Cushions,Coccyx Seat Cushion
SBV/Coccyx/CAT/PT/Cushions/Nov22/1,Cushions,Coccyx Seat Cushion
SBV/Socket/CAT/PT/Cushions/Nov22/1,Cushions,Socket Seat Cushion
SB/Coccyx/CAT/Cushions/Sep22/1,Cushions,Coccyx Seat Cushion
SBV/Coccyx/Brand/Phrase/Nov22/1,Cushions,Coccyx Seat Cushion
SB/Coccyx/Generic/Coccyx/Exact/Sep22/1,Cushions,Coccyx Seat Cushion
SBV/Commode Chair/Comp/PT/Top5/Nov22/1,Commode Chair,Commode Chair
SB/Coccyx/CAT/HP/Sep22/1,Cushions,Coccyx Seat Cushion
SBV/Commode Chair/Generic/Phrase/Nov22/1,Commode Chair,Commode Chair
SB/Socket/CAT/PT/Support/Nov22/1,Cushions,Socket Seat Cushion
SB/Coccyx/Generic/Seat/Exact/Sep22/1,Cushions,Coccyx Seat Cushion
SBV/Coccyx/Generic/Exact/Car/Nov22/1,Cushions,Coccyx Seat Cushion
SBV/Commode Chair/CAT/PT/Nov22/1,Commode Chair,Commode Chair
SBV/Commode Chair/Generic/Phrase/Dec22/2,Commode Chair,Commode Chair
SB/Insole/Brand/Phrase/Aug22/1,Insoles,Dual Gel Insoles
SB/Insole/Generic/Men/HS/Exact/Aug22/1,Insoles,Dual Gel Insoles
SB/Insole/Generic/Men/MS/Exact/Aug22/1,Insoles,Dual Gel Insoles
SB/Insole/Generic/Men/HS/Exact/Sep22/1,Insoles,Dual Gel Insoles
SB/Insole/Generic/Men/MS/Phrase/Sep22/1,Insoles,Dual Gel Insoles
SB/Insole/Generic/Men/HS/Phrase/Sep22/1,Insoles,Dual Gel Insoles
SB/Insole/Generic/Exact/Sep22/1,Insoles,Dual Gel Insoles
Insole Video new | SB | All Match Types,Insoles,Dual Gel Insoles
Insoles-new video | SB | Keyword Targeting | All match types,Insoles,Dual Gel Insoles
Video Insoles 1,Insoles,Dual Gel Insoles
Insoles Video 2,Insoles,Dual Gel Insoles
SBV/Wheel Chairs/FSS101/Generic/Foldablet/Nov22/1,Wheelchair,Folding Wheelchair
SBV/Wheel Chairs/Comp/PT/Nov22/1,Wheelchair,Folding Wheelchair
SBV/Wheel Chairs/FSS101/Generic/Phrase/Foldable/Nov22/1,Wheelchair,Folding Wheelchair
Frido Mask Video(1),Face Mask,Masks
Video Commode Chair,Stool,Commode stool
Wheelchair Brand New,Wheelchair,Bathroom Wheelchair
pro video slider,Face Mask,Masks
Insoles- new video | SB | PAT,Insoles,Dual Gel Insoles
Frido Copper Video-2,Face Mask,Masks
Dual SB,Insoles,Dual Gel Insoles
Video Black 3ply Phrase,Face Mask,Masks
Video 3ply Black Broad,Face Mask,Masks
SBV/Mask/Silver+/Generic/Exact/Sep22/1,Face Mask,Masks
Coccyx SB Keyword,Cushions,Coccyx Seat Cushion
Video Kids,Face Mask,Masks
Coccyx SB ASIN,Cushions,Coccyx Seat Cushion
SB Gel Cloud Keyword,Insoles,Gel Cloud Insoles
SB Gel Cloud ASIN,Insoles,Gel Cloud Insoles
SB Folding Wheelchair Banner,Wheelchair,Folding Wheelchair
Gel Cloud SBV Key,Insoles,Gel Cloud Insoles
Wheelchair Brand,Wheelchair,Bathroom Wheelchair
SB_AS_KT(e)_GenericKW_4/1/22,Face Mask,Masks
Brand Aug Insole,Insoles,Gel Cloud Insoles
SA_Ultimate_ProductVideo,Face Mask,Masks
SBV/Insole/New/Generic/Men/MS/Phrase/Aug22/1,Insoles,Gel Cloud Insoles
SBV/Insole/New/Generic/Men/HS/Phrase/Aug22/1,Insoles,Gel Cloud Insoles
SB Insoles Video Jan23,Insoles,Dual Gel Insoles
SBV/Insole/New/CAT/PT/Aug22/1,Insoles,Gel Cloud Insoles
SBV/Insole/New/CAT/PT/Aug22/2,Insoles,Gel Cloud Insoles
SBV/Insole/Old/Generic/Men/LS/Exact/Sep22/2,Insoles,Dual Gel Insoles
SB ASIN VIDEO INSOLE,Insoles,Dual Gel Insoles
SBV/Coccyx/Generic/Exact/Coccyx/Nov22/1,Cushions,Coccyx Seat Cushion
SBV/Wheel Chairs/Commode/Small/Generic/Phrase/Sep22/1,Commode Chair,Commode Chair
Video 3ply Black ASIN,Face Mask,Masks
Wedge Video Keyword,Cushions,Wedge Cushion
Back Support Wedge 16-jun-2022 19bb57,Cushions,Wedge Cushion
Brand WC 22 June,Wheelchair,MAC Wheelchair
Brand Wheelchair Folding,Wheelchair,Bathroom Wheelchair
Lumbar Video Camp,Cushions,Lumbar Cushion
Man Seating Combo Video,Cushions,Cushions Combo
ASIN Video Combo Seat,Cushions,Cushions Combo
Pillow Video Ad,Cushions,Sleeping Pillow
Video Heel,Insoles,Heel Cup
SB/Heel/ASIN/Video/PT,Insoles,Heel Cup
SB_AS_KT(p)_GenericKW_4/1/22(1),Face Mask,Masks
